Model,Upsample,Optimizer,Val_Loss,Pixel_Acc,Mean_IoU
fcn32,transpose,adam,3.0675705671310425,0.5375148631059207,0.05893660236777632
fcn32,transpose,sgd,2.633607662641085,0.5090098197643573,0.059952803288481724
fcn32,bilinear,adam,3.340498319038978,0.5479366320830125,0.10691027050650627
fcn32,bilinear,sgd,2.6274411861713114,0.5133560506197122,0.08622478509432457
fcn16,transpose,adam,3.4152972331413856,0.5547948044080001,0.08369448341449313
fcn16,transpose,sgd,2.6849755140451284,0.5184098115334144,0.06329510332184331
fcn16,bilinear,adam,3.4813371896743774,0.538259921165613,0.08529233199293987
fcn16,bilinear,sgd,3.2990946494615994,0.513838204053732,0.08139999976401326
fcn8,transpose,adam,3.0378066209646373,0.5297475801064417,0.07365217982520879
fcn8,transpose,sgd,2.7148543504568248,0.5409389665493598,0.0819959284391807
fcn8,bilinear,adam,3.376375143344586,0.5523189145785111,0.09755528236911651
fcn8,bilinear,sgd,3.080625396508437,0.5379609901171464,0.08608887119360763
